id,이미지id,촬영날짜,촬영시간,주목객체,병해부위,촬영부위,작물,질병명,생육단계,height,width,촬영지역,내부 온도 1 평균,내부 온도 1 최고,내부 온도 1 최저,내부 이슬점 평균,내부 이슬점 최고,내부 이슬점 최저,피해정도,데이터종류
10027,10027.jpg,20211126,0935,"[{'x': 89.14301990327381, 'h': 237.8629402281746, 'y': 162.00396825396825, 'w': 165.0040302579365}]","[{'x': 125.57248263888889, 'h': 78.85906498015873, 'y': 177.43291170634922, 'id': 0, 'w': 32.14364769345238}, {'x': 162.8591114831349, 'h': 57.858568948412696, 'y': 187.290287078373, 'id': 1, 'w': 35.57229662698413}]",3,3,b7,13,512,384,0,10.304591836734692,10.405952380952385,10.197278911564636,6.361054421768708,6.595748299319725,6.1204081632652985,1,2
10037,10037.jpg,20210914,0925,"[{'x': 166.36469184027777, 'h': 315.9944816468254, 'y': 2.092678736126612, 'w': 48.13160342261905}]",[],5,3,00,11,512,384,0,23.22755102040816,23.340476190476203,23.106122448979576,19.01360544217687,19.266666666666673,18.733333333333334,0,0
10043,10043.jpg,20210624,1332,"[{'x': 55.17857142857143, 'h': 271.60714285714283, 'y': 116.78571428571429, 'w': 272.14285714285717}]",[],1,3,00,13,512,384,0,22.120068027210877,22.228231292517044,21.99523809523811,17.87108843537416,18.101360544217666,17.64999999999999,0,0
10045,10045.jpg,20210915,1616,"[{'x': 128.79953342013889, 'h': 263.34275793650795, 'y': 188.10196552579364, 'w': 172.16111731150792}]",[],3,3,00,11,512,384,0,21.886734693877578,22.004761904761928,21.757823129251705,17.152721088435378,17.423129251700693,16.886734693877553,0,0
10063,10063.jpg,20210624,1430,"[{'x': 42.85714453125, 'h': 283.9285625, 'y': 146.25, 'w': 285.0}]",[],1,3,00,13,512,384,0,22.10850340136054,22.215646258503426,21.98469387755103,17.925850340136048,18.155102040816303,17.706122448979578,0,0
10090,10090.jpg,20211126,0936,"[{'x': 64.28512524801587, 'h': 415.8528645833333, 'y': 52.902378627232146, 'w': 278.57452876984127}]","[{'x': 129.2412109375, 'h': 406.4777405753968, 'y': 57.58992900545635, 'id': 0, 'w': 142.63552517361111}, {'x': 277.06739831349205, 'h': 184.99280753968253, 'y': 71.98814949156746, 'id': 1, 'w': 60.26912822420635}]",3,3,b7,13,512,384,0,10.304591836734692,10.405952380952385,10.197278911564636,6.361054421768708,6.595748299319725,6.1204081632652985,1,2
10109,10109.jpg,20211125,0922,"[{'x': 82.0118892609127, 'h': 446.53965153769843, 'y': 51.01742699032738, 'w': 237.8070281498016}]","[{'x': 128.09214564732142, 'h': 149.48654513888889, 'y': 344.7790798611111, 'id': 0, 'w': 123.42926122271825}, {'x': 150.58368985615078, 'h': 65.8289310515873, 'y': 193.92108444940476, 'id': 1, 'w': 69.66896081349206}, {'x': 185.69246031746033, 'h': 51.56600322420635, 'y': 284.7101624503968, 'id': 2, 'w': 74.33184523809524}, {'x': 94.3548099578373, 'h': 38.67450241815476, 'y': 108.34346323164682, 'id': 3, 'w': 55.40602523561508}]",3,3,b7,13,512,384,0,9.863775510204082,9.968537414966,9.747278911564635,6.648299319727887,6.873299319727901,6.416326530612236,1,2
10115,10115.jpg,20210915,1621,"[{'x': 80.08418588789682, 'h': 294.32945808531747, 'y': 127.52576264880952, 'w': 221.3847191220238}]",[],3,3,00,11,512,384,0,21.884353741496625,22.002380952380975,21.755782312925177,17.145918367346948,17.416326530612263,16.879591836734697,0,0
10117,10117.jpg,20211005,0816,"[{'x': 148.57142708333333, 'h': 503.8095416666667, 'y': 7.619048177083333, 'w': 517.142875}]",[],3,4,00,13,512,682,0,25.029496402877687,25.191366906474826,24.852517985611517,20.900719424460426,21.21654676258993,20.593525179856112,0,0
10118,10118.jpg,20210622,1059,"[{'x': 102.1650390625, 'h': 498.8058125, 'y': 0.0, 'w': 245.73034375}]","[{'x': 228.60084375, 'h': 41.8291875, 'y': 431.66721875, 'id': 0, 'w': 17.0235}]",3,3,a9,13,512,384,0,23.37551020408164,23.48809523809524,23.247278911564642,17.534693877551025,17.748299319727895,17.297619047619065,1,1
10124,10124.jpg,20211008,1003,"[{'x': 299.2761863425926, 'h': 206.01903521825398, 'y': 183.80189732142858, 'w': 271.84761491402116}]",[],3,1,00,12,512,682,0,23.04115646258504,23.227210884353752,22.84523809523812,18.580952380952375,18.945918367346945,18.24557823129253,0,0
10169,10169.jpg,20211006,0840,"[{'x': 139.94665625, 'h': 398.87241666666665, 'y': 90.69714583333334, 'w': 435.44379166666664}]",[],2,4,00,13,512,682,0,24.605944055944065,24.766083916083897,24.44230769230768,20.260489510489517,20.634265734265743,19.908741258741248,0,0
